Hva kommer du aldri til å gjøre igjen,0,01.01.2000 kl. 00.00.00,0,0
Hvem er den smarteste personen du har snakket med?,0,01.01.2000 kl. 00.00.00,0,0
Hvem er din helt?,0,01.01.2000 kl. 00.00.00,0,0
Hva er din største frykt?,1,01.01.2000 kl. 00.00.00,0,0.0
Hva er det mest spennende med jobben din?,0,01.01.2000 kl. 00.00.00,0,0
Hvor ville du bodd hvis du kunne bodd hvor som helst i verden?,0,01.01.2000 kl. 00.00.00,0,0
Hva ville du bli når du var barn?,0,01.01.2000 kl. 00.00.00,0,0
Har du noensinne hatt et kallenavn?,1,01.01.2000 kl. 00.00.00,1,1.0
Hvor er du fra?,1,01.01.2000 kl. 00.00.00,1,1.0
Hva heter du?,0,07.10.2021 kl. 09.31.37,0,0
